profile,seed,end,cycles,score,alive,deaths,drown,storm,built,lost,produced,relics,cards,min_satiety,min_warmth,min_mood,low_satiety_pct,low_warmth_pct,low_mood_pct,zero_satiety,zero_warmth,zero_mood,sick_pct,wet_pct,idle_pct,deepest_mark,storm_min_mark,storm_below,storm_wet_band,storm_damaged,storm_buildings,cargo,survivor_points,creatures,damage,stolen,flooded_storages,rations,catch,scrap,kelp,driftwood,got_scrap,got_catch,got_kelp,got_salt,got_water,wreck5,wreck6
greedy,143542,ship,12,15,3,3,3,0,2,0,14,0,sea_loan|deep_dive|the_dash|deep_dive|sea_loan|travel_light|deep_dive|fast_haul|deep_dive|full_moon|muffled_bell|deep_dive,0,0,0,57.95,28.51,73.45,5283,637,7689,5.44,1.68,88.45,-4,5.00,0,0,2,6,0,15,6,0,0,1,0,0,40,12,0,44,24,12,16,12,0,0
greedy,151461,wipe,3,7,1,5,5,0,2,0,2,0,full_moon|deep_dive,66,88,0,0.00,0.00,2.45,0,0,61,0.00,3.02,59.71,-4,99.00,0,0,0,0,20,5,0,0,0,0,8,16,40,10,0,44,24,12,16,12,0,0
builder,1000,ship,12,45,9,0,0,0,2,0,19,0,fast_haul|deep_dive|fast_haul|careful|careful|deep_dive|sea_loan|muffled_bell|fast_haul|deep_dive|careful|full_moon,0,89,60,18.44,0.00,0.00,1036,0,0,0.00,0.46,59.28,-2,3.00,0,0,0,6,0,45,6,0,0,1,0,0,0,24,15,12,52,32,56,0,0,0
builder,8919,ship,12,45,9,0,0,0,2,0,19,0,deep_dive|muffled_bell|careful|fast_haul|muffled_bell|travel_light|careful|deep_dive|full_moon|travel_light|muffled_bell|full_moon,0,83,9,16.96,0.00,2.68,832,0,0,0.00,0.59,62.68,-2,2.00,0,1,0,6,0,45,6,0,0,1,0,0,0,24,20,12,52,32,56,0,0,0
builder,16838,ship,12,40,8,0,0,0,2,0,19,0,long_breath|fast_haul|fast_haul|careful|the_dash|muffled_bell|full_moon|full_moon|long_breath|fast_haul|the_dash|fast_haul,0,88,42,21.13,0.00,0.00,1679,0,0,0.00,0.00,63.77,-2,2.19,0,0,0,6,0,40,6,0,0,1,0,0,0,24,19,12,52,32,56,0,0,0
builder,24757,ship,12,58,7,0,0,0,2,0,19,0,fast_haul|fast_haul|the_dash|the_dash|full_moon|the_dash|fast_haul|deep_dive|fast_haul|fast_haul|fast_haul|fast_haul,15,75,0,1.16,0.00,5.01,0,0,605,0.00,1.33,65.81,-2,2.00,0,7,1,6,23,35,6,0,0,1,0,0,0,30,32,12,52,32,56,0,0,0
builder,32676,ship,12,45,9,0,0,0,2,0,19,0,careful|muffled_bell|the_dash|the_dash|fast_haul|full_moon|travel_light|the_dash|the_dash|muffled_bell|sea_loan|fast_haul,26,89,48,0.26,0.00,0.00,0,0,0,0.00,0.00,56.95,-2,3.00,0,0,0,6,0,45,6,0,0,1,0,0,0,26,13,12,52,32,56,0,0,0
builder,40595,ship,12,58,7,0,0,0,2,0,19,0,full_moon|fast_haul|travel_light|careful|long_breath|fast_haul|fast_haul|fast_haul|travel_light|travel_light|fast_haul|muffled_bell,21,66,30,0.43,0.00,0.00,0,0,0,0.00,0.95,64.30,-2,1.64,0,7,1,6,23,35,6,0,0,1,0,4,0,30,22,12,52,32,56,0,0,0
builder,48514,ship,12,40,8,0,0,0,2,0,19,0,long_breath|long_breath|fast_haul|travel_light|muffled_bell|deep_dive|fast_haul|long_breath|sea_loan|careful|long_breath|long_breath,5,80,28,5.76,0.00,0.22,0,0,0,0.00,0.00,63.62,-2,3.00,0,0,0,6,0,40,6,0,0,1,0,0,0,24,7,12,52,32,56,0,0,0
builder,56433,ship,12,45,9,0,0,0,2,0,19,0,fast_haul|muffled_bell|fast_haul|careful|deep_dive|the_dash|fast_haul|muffled_bell|long_breath|long_breath|sea_loan|careful,0,79,59,13.21,0.00,0.00,760,0,0,0.00,1.26,63.22,-2,2.00,0,8,0,6,0,45,6,0,0,1,0,0,0,28,14,12,52,32,56,0,0,0
builder,64352,ship,12,83,7,0,0,0,3,0,25,0,travel_light|fast_haul|careful|fast_haul|careful|fast_haul|careful|travel_light|long_breath|fast_haul|fast_haul|long_breath,6,86,70,3.83,0.00,0.00,0,0,0,0.00,0.00,63.30,-2,3.00,0,0,1,7,48,35,6,0,0,0,0,0,0,24,15,12,52,32,56,0,0,0
builder,72271,ship,12,30,6,0,0,0,2,0,19,0,long_breath|the_dash|sea_loan|sea_loan|deep_dive|full_moon|sea_loan|full_moon|fast_haul|travel_light|long_breath|travel_light,17,79,0,0.69,0.00,23.73,0,0,1038,0.00,0.71,63.77,-2,1.68,0,5,1,6,0,30,6,0,0,1,0,2,0,30,20,12,52,32,56,0,0,0
builder,80190,ship,12,35,7,0,0,0,2,0,19,0,muffled_bell|deep_dive|fast_haul|muffled_bell|the_dash|muffled_bell|the_dash|careful|fast_haul|sea_loan|fast_haul|long_breath,0,86,0,7.32,0.00,3.82,36,0,59,0.00,0.89,60.82,-2,1.36,0,7,0,6,0,35,6,0,0,1,0,0,0,20,19,12,52,32,56,0,0,0
builder,88109,ship,12,68,9,0,0,0,2,0,19,0,travel_light|muffled_bell|full_moon|travel_light|fast_haul|travel_light|long_breath|careful|fast_haul|deep_dive|fast_haul|deep_dive,15,55,37,2.75,0.00,0.00,0,0,0,0.00,2.51,70.35,-2,1.40,0,9,1,6,23,45,6,0,0,1,0,0,0,30,31,12,52,32,56,0,0,0
builder,96028,ship,12,68,9,0,0,0,2,0,19,0,sea_loan|long_breath|fast_haul|long_breath|fast_haul|fast_haul|deep_dive|fast_haul|fast_haul|fast_haul|fast_haul|fast_haul,43,75,27,0.00,0.00,2.10,0,0,0,0.00,2.16,68.26,-2,1.47,0,9,1,6,23,45,6,0,0,1,0,3,0,30,24,12,52,32,56,0,0,0
builder,103947,ship,12,35,7,0,0,0,2,0,19,0,fast_haul|long_breath|full_moon|careful|fast_haul|careful|full_moon|long_breath|muffled_bell|travel_light|careful|fast_haul,36,64,0,0.00,0.00,17.04,0,0,60,0.00,0.92,63.69,-2,1.68,0,7,1,6,0,35,6,0,0,1,0,2,0,30,25,12,52,32,56,0,0,0
builder,111866,ship,12,40,8,0,0,0,2,0,19,0,deep_dive|fast_haul|fast_haul|fast_haul|travel_light|fast_haul|full_moon|sea_loan|deep_dive|careful|fast_haul|travel_light,0,79,64,4.05,0.00,0.00,0,0,0,0.00,0.00,62.47,-2,3.00,0,0,0,6,0,40,6,0,0,1,0,0,0,24,15,12,52,31,56,0,0,0
