profile,seed,cycle,deaths,ebb_start_level,at_risk_at_ebb,submerged_samples,submerged_pct,avg_satiety,avg_warmth,avg_mood
turtle,64352,12,0,0.000,0,0,0.0,69.4,99.1,78.8
turtle,64352,13,0,3.000,1,0,0.0,0.0,0.0,0.0
turtle,72271,1,0,-0.000,0,0,0.0,90.5,99.4,70.0
turtle,72271,2,0,0.000,0,0,0.0,72.3,94.3,67.5
turtle,72271,3,0,0.000,0,0,0.0,78.4,92.8,65.7
turtle,72271,4,0,0.000,0,0,0.0,78.8,98.6,63.2
turtle,72271,5,0,0.000,0,0,0.0,68.2,99.9,60.7
turtle,72271,6,0,0.000,0,0,0.0,75.5,99.1,51.1
turtle,72271,7,0,3.000,0,2,0.1,68.6,96.2,30.5
turtle,72271,8,0,0.000,0,0,0.0,71.1,98.9,25.8
turtle,72271,9,0,0.000,0,0,0.0,69.2,99.8,22.4
turtle,72271,10,0,0.000,0,0,0.0,69.3,99.9,15.8
turtle,72271,11,0,0.000,0,0,0.0,70.2,99.8,9.4
turtle,72271,12,0,0.000,0,0,0.0,68.2,99.9,7.0
turtle,72271,13,0,2.000,0,0,0.0,64.7,100.0,6.3
turtle,80190,1,0,-0.000,0,0,0.0,90.5,99.8,70.0
turtle,80190,2,0,0.000,0,0,0.0,75.1,95.2,73.6
turtle,80190,3,0,0.000,0,0,0.0,75.1,86.7,72.9
turtle,80190,4,0,0.000,0,0,0.0,81.0,86.2,72.1
turtle,80190,5,0,0.000,0,0,0.0,75.5,95.4,75.6
turtle,80190,6,0,0.000,0,0,0.0,71.7,98.5,68.1
turtle,80190,7,0,4.000,0,3,0.2,66.5,96.1,51.0
turtle,80190,8,0,0.000,0,0,0.0,71.9,99.3,47.3
turtle,80190,9,0,0.000,0,0,0.0,65.0,99.9,44.7
turtle,80190,10,0,0.000,0,0,0.0,69.2,99.9,36.8
turtle,80190,11,0,0.000,0,0,0.0,65.8,99.3,30.6
turtle,80190,12,0,0.000,0,0,0.0,62.9,99.3,23.9
turtle,80190,13,0,3.000,0,0,0.0,0.0,0.0,0.0
turtle,88109,1,0,-0.000,0,0,0.0,90.0,99.3,70.0
turtle,88109,2,0,0.000,0,0,0.0,71.6,94.2,70.0
turtle,88109,3,0,0.000,0,0,0.0,81.2,86.4,74.3
turtle,88109,4,0,0.000,0,0,0.0,75.1,84.8,74.3
turtle,88109,5,0,0.000,0,0,0.0,71.8,93.4,73.9
turtle,88109,6,0,0.000,0,0,0.0,73.4,97.6,71.2
turtle,88109,7,0,3.000,0,3,0.1,68.9,96.4,52.6
turtle,88109,8,0,0.000,0,0,0.0,70.1,98.6,49.4
turtle,88109,9,0,0.000,0,0,0.0,68.4,99.4,46.6
turtle,88109,10,0,0.000,0,0,0.0,65.2,99.3,40.3
turtle,88109,11,0,0.000,0,0,0.0,67.5,99.3,32.6
turtle,88109,12,0,0.000,0,0,0.0,64.4,99.1,25.9
turtle,88109,13,0,3.000,0,0,0.0,0.0,0.0,0.0
turtle,96028,1,0,-0.000,0,0,0.0,89.2,99.4,70.0
turtle,96028,2,0,0.000,0,0,0.0,69.4,94.3,70.0
turtle,96028,3,0,0.000,0,0,0.0,82.3,85.2,71.0
turtle,96028,4,0,0.000,0,0,0.0,78.7,84.7,72.7
turtle,96028,5,0,0.000,0,0,0.0,60.7,92.1,74.3
turtle,96028,6,0,0.000,0,0,0.0,78.5,95.0,68.8
turtle,96028,7,0,3.000,0,2,0.1,70.8,92.9,52.7
turtle,96028,8,0,0.000,0,0,0.0,68.3,95.8,52.1
turtle,96028,9,0,0.000,0,0,0.0,71.1,97.1,50.6
turtle,96028,10,0,0.000,0,0,0.0,67.3,97.7,46.4
turtle,96028,11,0,0.000,0,0,0.0,71.2,98.2,40.8
turtle,96028,12,0,0.000,0,0,0.0,65.1,99.6,40.5
turtle,96028,13,0,2.000,0,0,0.0,58.2,100.0,40.5
turtle,103947,1,0,-0.000,0,0,0.0,91.0,99.6,70.0
turtle,103947,2,0,0.000,0,0,0.0,74.8,95.9,68.7
turtle,103947,3,0,0.000,0,0,0.0,71.4,88.1,68.7
turtle,103947,4,0,0.000,0,0,0.0,86.7,90.1,71.7
turtle,103947,5,0,0.000,0,0,0.0,68.7,97.1,70.0
turtle,103947,6,0,0.000,0,0,0.0,75.8,99.7,65.8
turtle,103947,7,0,2.000,0,0,0.0,67.0,99.6,63.0
turtle,103947,8,0,0.000,0,0,0.0,71.6,99.4,57.5
turtle,103947,9,0,0.000,0,0,0.0,68.0,99.7,53.6
turtle,103947,10,0,0.000,0,0,0.0,71.2,99.7,44.4
turtle,103947,11,0,0.000,0,0,0.0,68.3,99.4,34.7
turtle,103947,12,0,0.000,0,0,0.0,67.6,99.6,29.9
turtle,103947,13,0,2.000,0,0,0.0,0.0,0.0,0.0
turtle,111866,1,0,-0.000,0,0,0.0,90.5,99.1,70.0
turtle,111866,2,0,0.000,0,0,0.0,72.3,93.1,70.0
turtle,111866,3,0,0.000,0,0,0.0,76.7,83.1,70.0
turtle,111866,4,0,0.000,0,0,0.0,82.6,83.6,74.3
turtle,111866,5,0,0.000,0,0,0.0,71.7,89.5,74.3
turtle,111866,6,0,0.000,0,0,0.0,72.3,93.5,68.1
turtle,111866,7,0,3.000,0,1,0.1,68.2,91.7,50.1
turtle,111866,8,0,0.000,0,0,0.0,70.3,94.3,46.8
turtle,111866,9,0,0.000,0,0,0.0,67.7,96.2,44.1
turtle,111866,10,0,0.000,0,0,0.0,70.7,97.3,36.9
turtle,111866,11,0,0.000,0,0,0.0,68.7,97.6,30.2
turtle,111866,12,0,0.000,0,0,0.0,69.5,97.6,23.0
turtle,111866,13,0,3.000,0,0,0.0,0.0,0.0,0.0
turtle,119785,1,0,-0.000,0,0,0.0,90.5,99.8,70.0
turtle,119785,2,0,0.000,0,0,0.0,72.3,95.0,68.7
turtle,119785,3,0,0.000,0,0,0.0,78.2,85.0,68.7
turtle,119785,4,0,0.000,0,0,0.0,80.7,84.7,73.1
turtle,119785,5,0,0.000,0,0,0.0,68.9,90.3,73.1
turtle,119785,6,0,0.000,0,0,0.0,74.8,94.8,70.1
turtle,119785,7,0,2.000,0,0,0.0,68.5,97.0,68.0
turtle,119785,8,0,0.000,0,0,0.0,70.7,98.5,64.5
turtle,119785,9,0,0.000,0,0,0.0,69.8,98.9,61.2
turtle,119785,10,0,0.000,0,0,0.0,66.4,99.7,54.1
turtle,119785,11,0,0.000,0,0,0.0,70.6,99.4,44.9
turtle,119785,12,0,0.000,0,0,0.0,65.5,98.8,38.7
turtle,119785,13,0,3.000,0,0,0.0,61.6,96.0,21.7
turtle,127704,1,0,-0.000,0,0,0.0,91.0,99.4,70.0
turtle,127704,2,0,0.000,0,0,0.0,74.1,94.6,70.0
turtle,127704,3,0,0.000,0,0,0.0,73.7,92.8,70.0
turtle,127704,4,0,0.000,0,0,0.0,82.7,97.6,70.0
turtle,127704,5,0,0.000,0,0,0.0,62.9,98.0,70.0
turtle,127704,6,0,0.000,0,0,0.0,81.6,98.2,67.5
turtle,127704,7,0,3.000,0,3,0.1,70.4,96.4,50.3
turtle,127704,8,0,0.000,0,0,0.0,69.2,99.5,47.5
turtle,127704,9,0,0.000,0,0,0.0,69.9,99.9,44.4
turtle,127704,10,0,0.000,0,0,0.0,67.4,99.3,38.6
turtle,127704,11,0,0.000,0,0,0.0,69.0,99.8,30.7
